Country,Year,Forest_area,Access_to_electricity,Coal_energy_share,Renewable_electricity_share,Renewable_energy_share,Fossil_fuel_energy_consumption,Energy_use_per_capita,Air_pollution_PM2.5,CO2_emissions,R&D_expenditure,Industrial_value_added,GDP_growth,Population_growth,Urban_population_growth
ABW,2000,2.33333333333333,91.7,,,0.2,,,,0.2686,,13.1759545308158,7.62292064930222,1.03081685259869,0.156076367200097
ABW,2001,2.33333333333333,100.0,,,0.2,,,,0.2715,,13.0540690696972,4.1820016304779,0.93503293482838,0.12279791842057
ABW,2002,2.33333333333333,100.0,,,0.2,,,,0.2966,,13.2416208673862,-0.944953481157384,0.692051826700269,-0.103896113241903
ABW,2003,2.33333333333333,100.0,,,0.2,,,,0.3419,,14.8922098082515,1.11050459944282,1.13822893851655,0.339622967953983
ABW,2004,2.33333333333333,100.0,,,0.2,,,,0.3489,,15.5965082540353,7.29372807096192,2.13535781849357,1.32848805721585
ABW,2005,2.33333333333333,100.0,,,0.2,,,,0.3848,,16.2974611255338,-0.383137672063768,2.59075665615847,1.78234851597787
ABW,2006,2.33333333333333,100.0,,,0.2,,,,0.4237,,17.6558632372378,1.12741146411624,1.79663785158395,0.981157087448718
ABW,2007,2.33333333333333,100.0,,,0.2,,,,0.4575,,17.4795502921148,3.0895443848509,0.746664790352749,-0.0746108401199707
ABW,2008,2.33333333333333,100.0,,,0.2,,,,0.454,,16.1823488793703,1.83575517191368,0.762933470313563,-0.0656130887708667
ABW,2009,2.33333333333333,100.0,,,0.3,,,,0.4927,,13.0430359920285,-11.6777413693852,0.678450763317743,-0.151753689896969
ABW,2010,2.33333333333333,93.4,,,5.5,,,,0.4822,,11.5460620013165,-2.73345679250639,0.230041095930877,-0.607047688172475
ABW,2011,2.33333333333333,100.0,,,5.7,,,,0.2902,,12.3664483303712,3.36923718421511,0.736689418341162,0.461873567178305
ABW,2012,2.33333333333333,100.0,,,6.9,,,,0.3749,,10.0760634560669,-1.04079988436683,1.46978228958006,1.50944561855444
ABW,2013,2.33333333333333,100.0,,,6.9,,,,0.4123,,10.7496624410616,6.43148260418822,1.49203139661921,1.56847690957925
